#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000   -1.0354419161e-04    7.7448131101e-18    1.8891512938e-05   -6.3427613584e-18
   0.1000000   -1.0268832838e-04    2.0352439633e-17    1.9019826328e-05    6.5932177498e-18
   0.2000000   -1.0183608034e-04    7.2535401740e-17    1.9147880930e-05   -3.7838917563e-17
   0.3000000   -1.0098749762e-04   -4.5266612360e-17    1.9275674366e-05   -4.1516708537e-17
   0.4000000   -1.0014263097e-04    1.0294113576e-16    1.9403203900e-05   -2.9167887481e-16
   0.5000000   -9.9301531848e-05    3.9792225517e-17    1.9530467146e-05   -1.2949218282e-16
   0.6000000   -9.8464252492e-05    1.2556539182e-16    1.9657461375e-05   -2.1674233932e-16
   0.7000000   -9.7630845932e-05   -5.3537334111e-17    1.9784184039e-05    9.5094267285e-17
   0.8000000   -9.6801365886e-05   -4.1546147261e-17    1.9910632450e-05    1.0091051751e-16
   0.9000000   -9.5975866951e-05    5.8469335460e-17    2.0036803953e-05    1.2741815653e-16
   1.0000000   -9.5154404496e-05    4.7984592627e-17    2.0162695806e-05    6.5058335175e-17
   1.1000000   -9.4337034650e-05    1.4539886277e-16    2.0288305257e-05   -1.4024739529e-16
   1.2000000   -9.3523814414e-05    1.1997494937e-16    2.0413629672e-05   -2.9836091244e-16
   1.3000000   -9.2714801586e-05   -2.0605482550e-16    2.0538666155e-05   -1.6269577731e-16
   1.4000000   -9.1910054879e-05    1.6630933522e-16    2.0663411854e-05   -2.0376922541e-16
   1.5000000   -9.1109633769e-05   -5.4661280715e-16    2.0787863930e-05   -1.5807149412e-17
   1.6000000   -9.0313598718e-05   -1.5889339616e-16    2.0912019489e-05    4.2436589797e-17
   1.7000000   -8.9522011060e-05    2.3477277995e-16    2.1035875683e-05    7.3776852906e-17
   1.8000000   -8.8734933052e-05    5.2688615416e-16    2.1159429415e-05   -6.0956682209e-16
   1.9000000   -8.7952427791e-05    9.7333389802e-16    2.1282677750e-05    1.0626531537e-16
   2.0000000   -8.7174559432e-05    1.5776133232e-15    2.1405617768e-05    3.3103487352e-16
   2.1000000   -8.6401393058e-05    1.2831472285e-15    2.1528246347e-05    3.1934715219e-15
   2.2000000   -8.5632994659e-05   -1.0899492712e-15    2.1650560398e-05    1.5687248818e-15
   2.3000000   -8.4869431302e-05   -8.6490085588e-16    2.1772556839e-05    6.2588809446e-16
   2.4000000   -8.4110770999e-05   -6.9415413659e-16    2.1894232504e-05   -6.1366401870e-16
   2.5000000   -8.3357082874e-05   -1.0540415280e-15    2.2015584134e-05   -1.5657554553e-15
   2.6000000   -8.2608437005e-05   -3.8160316877e-16    2.2136608629e-05   -6.3877090275e-16
   2.7000000   -8.1864904579e-05   -5.8973751345e-16    2.2257302705e-05   -9.8610646616e-16
   2.8000000   -8.1126557832e-05   -7.7020046736e-17    2.2377663007e-05   -9.0274478293e-16
   2.9000000   -8.0393470118e-05   -1.1577774797e-15    2.2497686206e-05    1.5959524441e-15
   3.0000000   -7.9665715929e-05   -2.1874255378e-16    2.2617368918e-05    5.2390879082e-15
   3.1000000   -7.8943370850e-05   -3.3047277512e-15    2.2736707726e-05    8.5388662351e-16
   3.2000000   -7.8226511675e-05   -4.3109605600e-15    2.2855699222e-05   -1.8861369911e-15
   3.3000000   -7.7515216260e-05   -3.5262819164e-15    2.2974339937e-05    2.7927869127e-15
   3.4000000   -7.6809563786e-05   -2.0964481734e-15    2.3092626273e-05    4.9120775256e-15
   3.5000000   -7.6109634584e-05   -1.7581357220e-15    2.3210554643e-05    3.1962898438e-15
   3.6000000   -7.5415510234e-05    6.6439082709e-16    2.3328121547e-05    1.7117762237e-15
   3.7000000   -7.4727273560e-05   -7.1848493035e-16    2.3445323242e-05    3.1827197771e-15
   3.8000000   -7.4045008674e-05   -6.6542549502e-16    2.3562156106e-05   -2.6452804832e-15
   3.9000000   -7.3368800962e-05    2.0363024291e-16    2.3678616386e-05   -2.8275994113e-15
   4.0000000   -7.2698737182e-05   -8.9758052093e-16    2.3794700300e-05   -6.0375197075e-16
   4.1000000   -7.2034905427e-05   -1.9940972457e-15    2.3910404023e-05    2.7594849178e-15
   4.2000000   -7.1377395137e-05   -5.5678932420e-15    2.4025723715e-05    3.7999990508e-15
   4.3000000   -7.0726297099e-05   -6.0879362910e-15    2.4140655451e-05   -4.5706105556e-15
   4.4000000   -7.0081703559e-05   -7.4340101767e-15    2.4255195255e-05    2.2184695264e-15
   4.5000000   -6.9443708153e-05   -6.9098986541e-15    2.4369339199e-05    1.8852826400e-15
   4.6000000   -6.8812405972e-05   -4.7914666822e-15    2.4483083138e-05    3.9649694460e-15
   4.7000000   -6.8187893623e-05   -4.8231939351e-15    2.4596423005e-05    4.2756025790e-15
   4.8000000   -6.7570269251e-05   -3.7366849466e-15    2.4709354634e-05    5.2771485368e-15
   4.9000000   -6.6959632595e-05   -4.1551441020e-15    2.4821873913e-05    8.0134164688e-15
   5.0000000   -6.6356084953e-05   -5.2976742412e-15    2.4933976525e-05    6.6967983340e-15
   5.1000000   -6.5759729325e-05   -2.7509753595e-15    2.5045658206e-05    3.4793545069e-15
   5.2000000   -6.5170670152e-05   -4.1669067715e-15    2.5156914620e-05    6.1036152962e-15
   5.3000000   -6.4589013467e-05   -2.6602540690e-15    2.5267741267e-05    7.1182756295e-15
   5.4000000   -6.4014866741e-05    1.3100096559e-15    2.5378133621e-05    2.8895720187e-15
   5.5000000   -6.3448339038e-05    2.8035681632e-15    2.5488087248e-05   -1.1747494516e-15
   5.6000000   -6.2889541029e-05    3.1120914612e-15    2.5597597502e-05    7.5505922764e-16
   5.7000000   -6.2338585325e-05    1.8685819343e-15    2.5706659793e-05   -7.9690710123e-16
   5.8000000   -6.1795586598e-05   -4.4666161090e-16    2.5815269662e-05    4.8905012353e-15
   5.9000000   -6.1260661869e-05   -2.1545178508e-15    2.5923422633e-05    3.6624092329e-15
   6.0000000   -6.0733930559e-05   -2.5102573917e-15    2.6031114575e-05    4.3045626985e-15
   6.1000000   -6.0215514354e-05   -1.3116771640e-15    2.6138341157e-05    4.0121440434e-15
   6.2000000   -5.9705536756e-05   -1.5109299480e-15    2.6245098064e-05    1.5686303363e-15
   6.3000000   -5.9204122686e-05   -1.4720524977e-15    2.6351380582e-05   -3.7709740707e-16
   6.4000000   -5.8711397852e-05    9.1615580335e-17    2.6457183370e-05   -1.7573633077e-16
   6.5000000   -5.8227488527e-05    3.8647820604e-15    2.6562500182e-05    2.4327169989e-15
   6.6000000   -5.7752521723e-05    6.8705287798e-15    2.6667323698e-05    6.3728790027e-16
   6.7000000   -5.7286625744e-05    5.9811578948e-15    2.6771645550e-05    4.0617534428e-15
   6.8000000   -5.6829931262e-05    3.2105447659e-15    2.6875456908e-05    3.6244653012e-15
   6.9000000   -5.6382572570e-05    2.1336640547e-15    2.6978749000e-05    6.9378263973e-16
   7.0000000   -5.5944688763e-05    3.4677123197e-15    2.7081514439e-05    3.5373515050e-15
   7.1000000   -5.5516424214e-05    9.4465414654e-16    2.7183748507e-05    3.9464110938e-15
   7.2000000   -5.5097928404e-05    6.9464011114e-16    2.7285450254e-05    5.9228331800e-15
   7.3000000   -5.4689354604e-05   -2.6469092243e-15    2.7386623174e-05    7.4005896849e-15
   7.4000000   -5.4290858130e-05   -3.9484001896e-15    2.7487275167e-05    1.2516671343e-15
   7.5000000   -5.3902593961e-05   -1.6150127164e-15    2.7587416964e-05    5.6887416914e-15
   7.6000000   -5.3524714927e-05   -2.3306822130e-15    2.7687059650e-05    5.2793456939e-15
   7.7000000   -5.3157370885e-05   -3.1634485765e-15    2.7786210520e-05    2.3406213429e-16
   7.8000000   -5.2800708867e-05   -3.0258694340e-16    2.7884868632e-05    6.6800286247e-16
   7.9000000   -5.2454875168e-05    2.1775132360e-15    2.7983020324e-05   -3.7698527499e-15
   8.0000000   -5.2120018296e-05    4.0948900665e-15    2.8080636057e-05   -6.5937782166e-15
   8.1000000   -5.1796292322e-05    2.1900116499e-15    2.8177669579e-05   -5.6920769098e-15
   8.2000000   -5.1483860120e-05   -3.7616306750e-16    2.8274060366e-05   -1.2104930098e-15
   8.3000000   -5.1182895150e-05   -2.7478267774e-16    2.8369740103e-05    2.1280509186e-15
   8.4000000   -5.0893581710e-05   -1.6975574117e-16    2.8464642281e-05   -2.3710798535e-16
   8.5000000   -5.0616113098e-05    3.2409443111e-15    2.8558714577e-05    3.6852054126e-15
   8.6000000   -5.0350688283e-05    4.6648838329e-16    2.8651931980e-05    4.5314142297e-15
   8.7000000   -5.0097507503e-05    1.2894674139e-15    2.8744308133e-05    1.0310785095e-15
   8.8000000   -4.9856768323e-05    3.6042663231e-16    2.8835902386e-05    5.3317671713e-15
   8.9000000   -4.9628662274e-05   -2.5600583881e-15    2.8926819893e-05    6.0595347701e-15
   9.0000000   -4.9413373881e-05   -4.3517621566e-15    2.9017203988e-05    6.0562514942e-15
   9.1000000   -4.9211081297e-05   -7.0637993958e-15    2.9107219080e-05    8.3139944999e-15
   9.2000000   -4.9021959331e-05   -1.0289195690e-14    2.9197027223e-05    1.3858587737e-14
   9.3000000   -4.8846183594e-05   -9.8451007193e-15    2.9286759229e-05    7.4653883715e-15
   9.4000000   -4.8683935348e-05   -1.2020252045e-14    2.9376486111e-05    5.7519195471e-15
   9.5000000   -4.8535405820e-05   -8.9960070804e-15    2.9466194791e-05    7.9390478956e-15
